AIRLINE,AIRLINE_P,DEST_AIRPORT,DEST_AIRPORT_P,Delays,YEAR,MONTH,Flight_Status
EV,5,MEM,69,98.0,2017,4,Delayed
EV,5,GPT,40,68.0,2017,4,Delayed
EV,5,SAT,98,92.0,2017,4,Delayed
EV,5,GPT,40,53.0,2017,4,Delayed
NK,8,TPA,112,93.0,2017,4,Delayed
NK,8,ATL,6,67.0,2017,4,Delayed
AA,1,CLT,22,84.0,2017,4,Delayed
NK,8,SAN,97,295.0,2017,4,Delayed
UA,11,SEA,101,52.0,2017,4,Delayed
UA,11,DEN,30,358.0,2017,4,Delayed
UA,11,SFO,102,90.0,2017,4,Delayed
UA,11,LAX,58,94.0,2017,4,Delayed
UA,11,LAX,58,130.0,2017,4,Delayed
UA,11,BOS,12,92.0,2017,4,Delayed
UA,11,TPA,112,65.0,2017,4,Delayed
UA,11,SFO,102,70.0,2017,4,Delayed
UA,11,SFO,102,94.0,2017,4,Delayed
EV,5,LRD,65,56.0,2017,4,Delayed
EV,5,BRO,13,110.0,2017,4,Delayed
EV,5,MSP,75,98.0,2017,4,Delayed
UA,11,LAS,57,254.0,2017,4,Delayed
UA,11,MSP,75,80.0,2017,4,Delayed
UA,11,SFO,102,163.0,2017,4,Delayed
EV,5,TUL,113,49.0,2017,4,Delayed
EV,5,JAX,55,42.0,2017,4,Delayed
EV,5,BHM,9,73.0,2017,4,Delayed
UA,11,MEM,69,95.0,2017,4,Delayed
UA,11,EWR,38,147.0,2017,4,Delayed
UA,11,FLL,39,88.0,2017,4,Normal
UA,11,FLL,39,44.0,2017,4,Normal
UA,11,LAX,58,131.0,2017,4,Delayed
UA,11,DEN,30,52.0,2017,4,Normal
UA,11,LAS,57,43.0,2017,4,Normal
UA,11,DCA,29,519.0,2017,4,Delayed
UA,11,HNL,46,58.0,2017,4,Delayed
UA,11,SAN,97,45.0,2017,4,Normal
UA,11,MCO,68,85.0,2017,4,Delayed
UA,11,MSY,76,102.0,2017,4,Delayed
UA,11,MSP,75,202.0,2017,4,Delayed
UA,11,SAT,98,72.0,2017,4,Normal
UA,11,MSY,76,55.0,2017,4,Normal
UA,11,SFO,102,91.0,2017,4,Delayed
UA,11,SFO,102,254.0,2017,4,Delayed
UA,11,MFE,70,65.0,2017,4,Delayed
UA,11,MIA,71,60.0,2017,4,Normal
UA,11,ORD,83,171.0,2017,4,Delayed
UA,11,SLC,107,114.0,2017,4,Delayed
UA,11,DEN,30,24.0,2017,4,Normal
UA,11,IAD,50,164.0,2017,4,Delayed
UA,11,LGA,63,274.0,2017,4,Delayed
UA,11,TUS,114,33.0,2017,4,Normal
UA,11,DEN,30,548.0,2017,4,Delayed
UA,11,LAX,58,199.0,2017,4,Delayed
UA,11,SFO,102,68.0,2017,4,Delayed
UA,11,SAN,97,116.0,2017,4,Delayed
UA,11,MIA,71,140.0,2017,4,Delayed
UA,11,PHL,87,110.0,2017,4,Delayed
UA,11,MIA,71,95.0,2017,4,Delayed
UA,11,AUS,7,47.0,2017,4,Normal
UA,11,DCA,29,220.0,2017,4,Delayed
UA,11,PHL,87,37.0,2017,4,Normal
UA,11,LAX,58,166.0,2017,4,Delayed
UA,11,DEN,30,52.0,2017,4,Normal
UA,11,SNA,109,44.0,2017,4,Normal
UA,11,MSY,76,222.0,2017,4,Delayed
UA,11,LAX,58,116.0,2017,4,Delayed
UA,11,AUS,7,115.0,2017,4,Delayed
UA,11,LAX,58,132.0,2017,4,Delayed
UA,11,DFW,31,397.0,2017,4,Delayed
UA,11,FLL,39,181.0,2017,4,Delayed
UA,11,SAT,98,62.0,2017,4,Delayed
UA,11,EGE,36,46.0,2017,4,Normal
UA,11,LGA,63,25.0,2017,4,Normal
UA,11,ORD,83,227.0,2017,4,Delayed
UA,11,ATL,6,203.0,2017,4,Delayed
UA,11,LGA,63,75.0,2017,4,Normal
UA,11,SFO,102,447.0,2017,4,Delayed
UA,11,SFO,102,469.0,2017,4,Delayed
