City,lat,lng,,,,,city,state_id
"South Creek, WA",46.9994,-122.3921,,,,,South Creek,WA
"Roslyn, WA",47.2507,-121.0989,,,,,Roslyn,WA
"Sprague, WA",47.3048,-117.9713,,,,,Sprague,WA
"Gig Harbor, WA",47.3352,-122.5968,,,,,Gig Harbor,WA
"Lake Cassidy, WA",48.0639,-122.092,,,,,Lake Cassidy,WA
"Tenino, WA",46.8537,-122.8607,,,,,Tenino,WA
"Jamestown, WA",48.1229,-123.0911,,,,,Jamestown,WA
"Three Lakes, WA",47.942,-121.9924,,,,,Three Lakes,WA
"Curlew Lake, WA",48.7311,-118.6663,,,,,Curlew Lake,WA
"Chain Lake, WA",47.9038,-121.9861,,,,,Chain Lake,WA
"Pateros, WA",48.0536,-119.8994,,,,,Pateros,WA
"Rosburg, WA",46.3076,-123.6344,,,,,Rosburg,WA
"Parkland, WA",47.1417,-122.4376,,,,,Parkland,WA
"Birch Bay, WA",48.923,-122.7543,,,,,Birch Bay,WA
"Ashford, WA",46.7537,-122.0113,,,,,Ashford,WA
"Navy Yard City, WA",47.5508,-122.6655,,,,,Navy Yard City,WA
"Omak, WA",48.4228,-119.5159,,,,,Omak,WA
"Farmington, WA",47.0887,-117.0464,,,,,Farmington,WA
"Buckley, WA",47.1615,-122.02,,,,,Buckley,WA
"Cathcart, WA",47.8525,-122.1058,,,,,Cathcart,WA
"Poulsbo, WA",47.7417,-122.6408,,,,,Poulsbo,WA
"Anacortes, WA",48.4878,-122.6292,,,,,Anacortes,WA
"Maplewood, WA",47.3715,-122.5689,,,,,Maplewood,WA
"Creston, WA",47.7595,-118.52,,,,,Creston,WA
"Rockford, WA",47.4513,-117.1307,,,,,Rockford,WA
"Wishram, WA",45.6599,-120.9698,,,,,Wishram,WA
"Centralia, WA",46.7225,-122.9695,,,,,Centralia,WA
"South Hill, WA",47.1203,-122.2848,,,,,South Hill,WA
"Longview Heights, WA",46.1796,-122.9577,,,,,Longview Heights,WA
"Erlands Point-Kitsap Lake, WA",47.5973,-122.7021,,,,,Erlands Point-Kitsap Lake,WA
"Amboy, WA",45.9122,-122.4795,,,,,Amboy,WA
"St. John, WA",47.0915,-117.5887,,,,,St. John,WA
"Dallesport, WA",45.6316,-121.1749,,,,,Dallesport,WA
"Ketron Island, WA",47.1569,-122.6343,,,,,Ketron Island,WA
"Mesa, WA",46.5737,-119.0013,,,,,Mesa,WA
"Fife, WA",47.2328,-122.3518,,,,,Fife,WA
"Moses Lake North, WA",47.1949,-119.3186,,,,,Moses Lake North,WA
"Chewelah, WA",48.2929,-117.7336,,,,,Chewelah,WA
"Grayland, WA",46.8304,-124.0898,,,,,Grayland,WA
"Kittitas, WA",46.9837,-120.4191,,,,,Kittitas,WA
