,Flight Date,Carrier,ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,FLIGHTS,WEATHER_DELAY
0,2017-01-01,DL,IAH,ATL,91.0,79.0,1.0,0.0
1,2017-01-02,DL,IAH,ATL,222.0,230.0,1.0,0.0
2,2017-01-02,DL,IAH,ATL,19.0,27.0,1.0,0.0
3,2017-01-02,DL,IAH,ATL,3.0,50.0,1.0,0.0
4,2017-01-02,DL,IAH,ATL,69.0,60.0,1.0,0.0
5,2017-01-02,DL,IAH,ATL,31.0,25.0,1.0,0.0
6,2017-01-04,DL,IAH,ATL,20.0,22.0,1.0,0.0
7,2017-01-05,DL,IAH,SLC,24.0,45.0,1.0,0.0
8,2017-01-06,DL,IAH,ATL,26.0,24.0,1.0,0.0
9,2017-01-07,DL,IAH,ATL,89.0,91.0,1.0,0.0
10,2017-01-07,DL,IAH,ATL,192.0,199.0,1.0,0.0
11,2017-01-07,DL,IAH,ATL,157.0,151.0,1.0,0.0
12,2017-01-07,DL,IAH,ATL,58.0,55.0,1.0,0.0
13,2017-01-08,DL,IAH,ATL,53.0,52.0,1.0,0.0
14,2017-01-08,DL,IAH,ATL,151.0,140.0,1.0,0.0
15,2017-01-13,DL,IAH,MSP,141.0,125.0,1.0,0.0
16,2017-01-16,DL,IAH,ATL,331.0,310.0,1.0,0.0
17,2017-01-17,DL,IAH,ATL,23.0,17.0,1.0,0.0
18,2017-01-18,DL,IAH,ATL,0.0,20.0,1.0,0.0
19,2017-01-18,DL,IAH,ATL,2.0,18.0,1.0,0.0
20,2017-01-19,DL,IAH,ATL,16.0,16.0,1.0,0.0
21,2017-01-20,DL,IAH,MSP,533.0,530.0,1.0,0.0
22,2017-01-21,DL,IAH,ATL,58.0,43.0,1.0,0.0
23,2017-01-21,DL,IAH,ATL,61.0,46.0,1.0,0.0
24,2017-01-21,DL,IAH,ATL,75.0,46.0,1.0,0.0
25,2017-01-21,DL,IAH,ATL,0.0,76.0,1.0,0.0
26,2017-01-22,DL,IAH,ATL,10.0,16.0,1.0,0.0
27,2017-01-22,DL,IAH,ATL,70.0,135.0,1.0,0.0
28,2017-01-22,DL,IAH,ATL,129.0,147.0,1.0,0.0
29,2017-01-22,DL,IAH,ATL,7.0,55.0,1.0,0.0
30,2017-01-22,DL,IAH,ATL,149.0,149.0,1.0,0.0
31,2017-01-23,DL,IAH,ATL,50.0,47.0,1.0,0.0
32,2017-01-23,DL,IAH,ATL,98.0,81.0,1.0,0.0
33,2017-01-23,DL,IAH,MSP,229.0,206.0,1.0,0.0
34,2017-01-25,DL,IAH,ATL,23.0,24.0,1.0,0.0
35,2017-01-29,DL,IAH,ATL,215.0,200.0,1.0,0.0
36,2017-01-29,DL,IAH,ATL,1.0,163.0,1.0,0.0
37,2017-01-29,DL,IAH,MSP,0.0,20.0,1.0,0.0
38,2017-02-06,DL,IAH,ATL,40.0,46.0,1.0,0.0
39,2017-02-06,DL,IAH,DTW,24.0,22.0,1.0,0.0
40,2017-02-06,DL,IAH,ATL,43.0,47.0,1.0,0.0
41,2017-02-06,DL,IAH,ATL,32.0,21.0,1.0,0.0
42,2017-02-06,DL,IAH,LGA,13.0,31.0,1.0,0.0
43,2017-02-07,DL,IAH,ATL,11.0,43.0,1.0,0.0
44,2017-02-07,DL,IAH,ATL,39.0,33.0,1.0,0.0
45,2017-02-13,DL,IAH,ATL,71.0,61.0,1.0,0.0
46,2017-02-14,DL,IAH,ATL,68.0,54.0,1.0,0.0
47,2017-02-14,DL,IAH,ATL,24.0,35.0,1.0,0.0
48,2017-02-15,DL,IAH,ATL,28.0,15.0,1.0,0.0
49,2017-02-18,DL,IAH,ATL,18.0,17.0,1.0,0.0
50,2017-02-19,DL,IAH,ATL,37.0,32.0,1.0,0.0
51,2017-02-23,DL,IAH,DTW,151.0,136.0,1.0,0.0
52,2017-02-24,DL,IAH,ATL,86.0,73.0,1.0,0.0
53,2017-02-26,DL,IAH,MSP,66.0,44.0,1.0,0.0
54,2017-02-27,DL,IAH,ATL,52.0,40.0,1.0,0.0
55,2017-03-01,DL,IAH,ATL,16.0,129.0,1.0,0.0
56,2017-03-01,DL,IAH,ATL,613.0,710.0,1.0,0.0
57,2017-03-07,DL,IAH,ATL,22.0,61.0,1.0,0.0
58,2017-03-07,DL,IAH,ATL,1.0,15.0,1.0,0.0
59,2017-03-08,DL,IAH,ATL,54.0,30.0,1.0,0.0
60,2017-03-10,DL,IAH,ATL,29.0,15.0,1.0,0.0
61,2017-03-10,DL,IAH,ATL,49.0,33.0,1.0,0.0
62,2017-03-10,DL,IAH,SLC,45.0,38.0,1.0,0.0
63,2017-03-13,DL,IAH,SLC,30.0,33.0,1.0,0.0
64,2017-03-14,DL,IAH,ATL,64.0,49.0,1.0,0.0
65,2017-03-23,DL,IAH,SLC,86.0,66.0,1.0,0.0
66,2017-03-25,DL,IAH,ATL,94.0,74.0,1.0,0.0
67,2017-03-25,DL,IAH,ATL,22.0,45.0,1.0,0.0
68,2017-03-25,DL,IAH,ATL,52.0,29.0,1.0,0.0
69,2017-03-29,DL,IAH,ATL,37.0,40.0,1.0,0.0
70,2017-03-29,DL,IAH,ATL,116.0,108.0,1.0,0.0
71,2017-03-29,DL,IAH,ATL,80.0,76.0,1.0,0.0
72,2017-03-31,DL,IAH,ATL,116.0,104.0,1.0,0.0
73,2017-04-02,DL,IAH,ATL,0.0,89.0,1.0,0.0
74,2017-04-02,DL,IAH,ATL,37.0,87.0,1.0,0.0
